コード,Cluster_From,Cluster_To,Period
3771,0,0,2010-2011
3772,1,1,2010-2011
3773,1,1,2010-2011
3776,4,4,2010-2011
3777,1,1,2010-2011
3778,4,0,2010-2011
3779,1,1,2010-2011
3787,1,1,2010-2011
3788,4,4,2010-2011
3791,4,4,2010-2011
3793,4,0,2010-2011
3796,4,4,2010-2011
3798,4,4,2010-2011
3799,0,0,2010-2011
3800,4,4,2010-2011
3802,4,4,2010-2011
3803,4,1,2010-2011
3804,4,4,2010-2011
3807,1,1,2010-2011
3810,0,4,2010-2011
3815,4,4,2010-2011
3816,4,4,2010-2011
3817,2,2,2010-2011
3823,1,1,2010-2011
3825,1,1,2010-2011
3826,4,4,2010-2011
3834,4,4,2010-2011
3835,4,4,2010-2011
3836,4,4,2010-2011
3837,4,4,2010-2011
3839,4,4,2010-2011
3840,1,1,2010-2011
3841,4,4,2010-2011
3842,1,0,2010-2011
3843,0,0,2010-2011
3844,4,4,2010-2011
3847,4,4,2010-2011
3848,4,4,2010-2011
3851,1,4,2010-2011
3854,4,4,2010-2011
3856,1,1,2010-2011
3858,4,4,2010-2011
3861,3,3,2010-2011
3864,3,3,2010-2011
3865,3,3,2010-2011
3877,0,0,2010-2011
3878,0,0,2010-2011
3880,3,3,2010-2011
3891,0,0,2010-2011
3892,4,4,2010-2011
3895,4,4,2010-2011
3941,3,3,2010-2011
3943,0,0,2010-2011
3944,0,0,2010-2011
3945,0,0,2010-2011
3946,3,3,2010-2011
3947,0,0,2010-2011
3948,4,4,2010-2011
3950,0,2,2010-2011
3951,0,0,2010-2011
3953,4,4,2010-2011
3954,0,0,2010-2011
3955,0,0,2010-2011
4004,3,3,2010-2011
4005,3,3,2010-2011
4008,0,0,2010-2011
4021,3,3,2010-2011
4022,1,0,2010-2011
4023,3,3,2010-2011
4025,0,0,2010-2011
4027,0,0,2010-2011
4028,0,3,2010-2011
4031,0,0,2010-2011
4041,3,3,2010-2011
4042,3,3,2010-2011
4043,3,3,2010-2011
4044,3,3,2010-2011
4045,3,3,2010-2011
4046,0,3,2010-2011
4047,0,3,2010-2011
4061,3,3,2010-2011
4062,3,3,2010-2011
4063,3,3,2010-2011
4064,0,0,2010-2011
4078,3,3,2010-2011
4080,0,0,2010-2011
4082,2,0,2010-2011
4088,3,3,2010-2011
4091,3,3,2010-2011
4092,0,3,2010-2011
4093,0,0,2010-2011
4094,2,2,2010-2011
4095,3,3,2010-2011
4097,0,3,2010-2011
4098,1,0,2010-2011
4099,0,0,2010-2011
4100,1,0,2010-2011
4102,0,0,2010-2011
4107,2,2,2010-2011
4109,0,0,2010-2011
4112,0,0,2010-2011
4113,0,0,2010-2011
4114,3,3,2010-2011
4116,3,3,2010-2011
4118,3,3,2010-2011
4119,0,0,2010-2011
4120,0,0,2010-2011
4151,2,2,2010-2011
4182,3,3,2010-2011
4183,3,3,2010-2011
4186,2,2,2010-2011
4187,0,0,2010-2011
4188,3,3,2010-2011
4202,3,3,2010-2011
4203,3,3,2010-2011
4204,3,3,2010-2011
4205,3,3,2010-2011
4206,2,2,2010-2011
4208,3,3,2010-2011
4212,2,2,2010-2011
4216,2,2,2010-2011
4218,2,2,2010-2011
4220,0,3,2010-2011
4221,3,3,2010-2011
4222,1,0,2010-2011
4224,0,0,2010-2011
4228,3,3,2010-2011
4229,2,2,2010-2011
4231,0,0,2010-2011
4234,0,0,2010-2011
4235,4,4,2010-2011
4237,0,0,2010-2011
4238,4,2,2010-2011
4240,1,4,2010-2011
4241,0,0,2010-2011
4242,0,0,2010-2011
4243,0,0,2010-2011
4272,3,3,2010-2011
4274,1,4,2010-2011
4284,0,0,2010-2011
4286,4,4,2010-2011
4287,4,4,2010-2011
4288,4,4,2010-2011
4290,0,0,2010-2011
4293,4,2,2010-2011
4299,4,4,2010-2011
4301,4,2,2010-2011
4307,2,3,2010-2011
4308,4,1,2010-2011
4310,1,4,2010-2011
4317,0,4,2010-2011
4318,1,0,2010-2011
4319,0,0,2010-2011
4320,4,4,2010-2011
4323,0,1,2010-2011
4324,3,3,2010-2011
4326,0,0,2010-2011
4331,0,0,2010-2011
4333,4,4,2010-2011
4334,4,0,2010-2011
4335,4,4,2010-2011
4337,1,0,2010-2011
4341,4,4,2010-2011
4343,2,2,2010-2011
4344,1,1,2010-2011
4345,4,4,2010-2011
4346,0,1,2010-2011
4347,4,4,2010-2011
4350,0,0,2010-2011
4351,1,1,2010-2011
4361,0,0,2010-2011
4362,4,2,2010-2011
4365,2,2,2010-2011
4366,0,0,2010-2011
4367,0,0,2010-2011
4368,0,2,2010-2011
4369,1,0,2010-2011
4401,3,3,2010-2011
4403,3,3,2010-2011
4404,0,0,2010-2011
4406,0,0,2010-2011
4409,0,0,2010-2011
4410,0,0,2010-2011
4452,3,3,2010-2011
4461,0,0,2010-2011
4462,4,4,2010-2011
4463,0,0,2010-2011
4464,2,2,2010-2011
4465,0,0,2010-2011
4471,3,3,2010-2011
4502,3,3,2010-2011
4503,2,2,2010-2011
4506,3,3,2010-2011
4507,2,2,2010-2011
4512,4,4,2010-2011
4516,2,2,2010-2011
4521,2,2,2010-2011
4523,3,3,2010-2011
4524,4,4,2010-2011
4526,3,3,2010-2011
4527,3,3,2010-2011
4528,2,2,2010-2011
4530,3,3,2010-2011
4531,0,0,2010-2011
4534,2,2,2010-2011
4536,2,2,2010-2011
4538,0,0,2010-2011
4539,0,0,2010-2011
4540,2,2,2010-2011
4543,2,2,2010-2011
4544,3,3,2010-2011
4547,2,3,2010-2011
4548,2,2,2010-2011
4549,2,2,2010-2011
4552,0,0,2010-2011
4553,0,0,2010-2011
4554,4,4,2010-2011
4556,0,0,2010-2011
4558,1,0,2010-2011
4559,0,0,2010-2011
4563,1,1,2010-2011
4564,4,4,2010-2011
4565,1,1,2010-2011
4568,3,3,2010-2011
4569,2,3,2010-2011
4570,1,1,2010-2011
4571,1,1,2010-2011
4572,1,1,2010-2011
4574,4,1,2010-2011
4577,0,0,2010-2011
4578,3,3,2010-2011
4579,1,1,2010-2011
4582,1,1,2010-2011
4583,1,1,2010-2011
4586,1,1,2010-2011
4611,0,0,2010-2011
4612,3,3,2010-2011
4613,3,3,2010-2011
4615,0,0,2010-2011
4616,1,0,2010-2011
4617,3,3,2010-2011
4619,0,0,2010-2011
4620,2,2,2010-2011
4623,0,0,2010-2011
4624,4,4,2010-2011
4625,0,0,2010-2011
4626,2,2,2010-2011
4627,4,4,2010-2011
4628,2,2,2010-2011
4629,0,0,2010-2011
4631,3,3,2010-2011
4633,3,3,2010-2011
4634,3,3,2010-2011
4635,0,0,2010-2011
4641,4,2,2010-2011
4642,4,1,2010-2011
4644,4,4,2010-2011
4645,0,0,2010-2011
4650,0,0,2010-2011
4651,0,0,2010-2011
4657,0,1,2010-2011
4658,0,0,2010-2011
4659,0,0,2010-2011
4661,3,3,2010-2011
4662,0,0,2010-2011
4664,0,1,2010-2011
4665,2,2,2010-2011
4666,3,3,2010-2011
4667,4,4,2010-2011
4668,4,0,2010-2011
4671,0,0,2010-2011
4673,1,0,2010-2011
4674,4,0,2010-2011
4676,3,3,2010-2011
4678,0,0,2010-2011
4679,0,0,2010-2011
4680,3,3,2010-2011
4681,3,3,2010-2011
4684,2,2,2010-2011
4685,4,4,2010-2011
4686,4,4,2010-2011
4687,4,4,2010-2011
4689,2,2,2010-2011
4690,0,0,2010-2011
4694,2,2,2010-2011
4704,2,2,2010-2011
4705,4,4,2010-2011
4707,0,0,2010-2011
4709,0,4,2010-2011
4712,0,0,2010-2011
4714,4,4,2010-2011
4716,2,2,2010-2011
4718,4,0,2010-2011
4719,2,2,2010-2011
4720,1,4,2010-2011
4722,4,2,2010-2011
4725,2,2,2010-2011
4728,4,4,2010-2011
4732,2,2,2010-2011
4733,2,2,2010-2011
4735,0,0,2010-2011
4736,1,4,2010-2011
4743,4,4,2010-2011
4745,4,4,2010-2011
4746,4,4,2010-2011
4750,1,4,2010-2011
4751,3,3,2010-2011
4752,4,4,2010-2011
4754,0,0,2010-2011
4755,3,2,2010-2011
4760,0,4,2010-2011
4761,4,2,2010-2011
4762,4,4,2010-2011
4763,0,0,2010-2011
4765,4,4,2010-2011
4766,1,1,2010-2011
4767,0,0,2010-2011
4768,3,3,2010-2011
4769,4,4,2010-2011
4771,4,4,2010-2011
