コード,Cluster_From,Cluster_To,Period
3623,4,4,2023-2024
3624,1,1,2023-2024
3625,0,1,2023-2024
3626,3,3,2023-2024
3627,4,0,2023-2024
3628,1,1,2023-2024
3632,2,2,2023-2024
3633,4,4,2023-2024
3634,1,1,2023-2024
3635,2,2,2023-2024
3636,2,2,2023-2024
3639,1,1,2023-2024
3640,0,0,2023-2024
3641,2,4,2023-2024
3645,0,0,2023-2024
3646,4,4,2023-2024
3647,1,1,2023-2024
3648,2,4,2023-2024
3649,4,4,2023-2024
3652,1,4,2023-2024
3653,1,4,2023-2024
3655,4,4,2023-2024
3656,1,1,2023-2024
3657,0,0,2023-2024
3659,2,2,2023-2024
3660,0,0,2023-2024
3661,4,4,2023-2024
3662,2,0,2023-2024
3663,4,4,2023-2024
3664,1,1,2023-2024
3665,4,4,2023-2024
3667,1,1,2023-2024
3668,2,2,2023-2024
3670,4,4,2023-2024
3671,0,0,2023-2024
3672,1,1,2023-2024
3673,4,4,2023-2024
3674,0,0,2023-2024
3675,0,0,2023-2024
3676,0,0,2023-2024
3678,0,0,2023-2024
3679,0,0,2023-2024
3680,4,0,2023-2024
3681,1,1,2023-2024
3682,4,4,2023-2024
3683,0,0,2023-2024
3686,1,1,2023-2024
3687,4,4,2023-2024
3688,2,2,2023-2024
3690,4,0,2023-2024
3691,1,1,2023-2024
3692,4,4,2023-2024
3694,4,4,2023-2024
3695,4,4,2023-2024
3696,0,0,2023-2024
3697,0,0,2023-2024
3698,4,4,2023-2024
3708,3,3,2023-2024
3710,4,4,2023-2024
3712,4,4,2023-2024
3719,1,1,2023-2024
3723,4,4,2023-2024
3726,1,1,2023-2024
3727,4,0,2023-2024
3733,2,2,2023-2024
3741,4,4,2023-2024
3744,1,4,2023-2024
3747,1,1,2023-2024
3750,1,1,2023-2024
3753,1,1,2023-2024
3758,1,1,2023-2024
3760,0,0,2023-2024
3762,0,0,2023-2024
3763,4,4,2023-2024
3765,2,2,2023-2024
3766,4,4,2023-2024
3768,4,4,2023-2024
3769,3,3,2023-2024
3771,4,2,2023-2024
3772,0,0,2023-2024
3773,4,4,2023-2024
3774,3,3,2023-2024
3776,0,0,2023-2024
3777,4,1,2023-2024
3778,0,0,2023-2024
3779,1,1,2023-2024
3788,4,0,2023-2024
3791,4,4,2023-2024
3793,0,0,2023-2024
3796,4,4,2023-2024
3798,4,4,2023-2024
3799,4,4,2023-2024
3800,4,4,2023-2024
3802,4,4,2023-2024
3803,1,4,2023-2024
3804,4,4,2023-2024
3807,1,1,2023-2024
3810,1,1,2023-2024
3815,4,1,2023-2024
3816,4,4,2023-2024
3817,2,2,2023-2024
3823,1,1,2023-2024
3825,1,2,2023-2024
3826,4,4,2023-2024
3834,4,4,2023-2024
3835,4,4,2023-2024
3836,2,4,2023-2024
3837,4,4,2023-2024
3839,0,0,2023-2024
3840,1,1,2023-2024
3841,4,4,2023-2024
3842,4,4,2023-2024
3843,0,0,2023-2024
3844,2,2,2023-2024
3845,4,1,2023-2024
3847,4,4,2023-2024
3848,4,4,2023-2024
3850,4,4,2023-2024
3851,0,0,2023-2024
3853,1,4,2023-2024
3854,4,4,2023-2024
3856,3,3,2023-2024
3858,1,1,2023-2024
3861,3,3,2023-2024
3863,3,3,2023-2024
3864,0,3,2023-2024
3865,3,3,2023-2024
3877,3,3,2023-2024
3878,0,0,2023-2024
3880,3,3,2023-2024
3891,0,0,2023-2024
3892,4,4,2023-2024
3895,4,4,2023-2024
3896,0,0,2023-2024
3900,0,0,2023-2024
3901,4,4,2023-2024
3902,4,4,2023-2024
3903,1,1,2023-2024
3904,0,0,2023-2024
3905,1,1,2023-2024
3907,4,4,2023-2024
3908,4,1,2023-2024
3909,1,1,2023-2024
3910,0,1,2023-2024
3911,1,1,2023-2024
3912,4,4,2023-2024
3914,4,4,2023-2024
3915,0,0,2023-2024
3916,4,4,2023-2024
3917,0,1,2023-2024
3918,2,4,2023-2024
3920,4,4,2023-2024
3921,4,4,2023-2024
3922,4,4,2023-2024
3923,4,0,2023-2024
3924,4,4,2023-2024
3925,4,4,2023-2024
3927,4,4,2023-2024
3928,0,0,2023-2024
3929,1,1,2023-2024
3930,4,4,2023-2024
3931,0,0,2023-2024
3932,2,2,2023-2024
3933,0,0,2023-2024
3934,0,4,2023-2024
3935,4,0,2023-2024
3936,1,1,2023-2024
3937,4,4,2023-2024
3939,4,4,2023-2024
3940,4,4,2023-2024
3941,3,3,2023-2024
3943,0,2,2023-2024
3944,0,0,2023-2024
3945,0,0,2023-2024
3946,3,3,2023-2024
3947,0,0,2023-2024
3948,4,4,2023-2024
3950,2,2,2023-2024
3951,0,0,2023-2024
3953,4,4,2023-2024
3954,2,2,2023-2024
3955,4,4,2023-2024
3958,0,0,2023-2024
3962,0,0,2023-2024
3964,2,2,2023-2024
3965,0,0,2023-2024
3967,0,0,2023-2024
3968,0,0,2023-2024
3969,4,4,2023-2024
3970,4,4,2023-2024
3974,4,4,2023-2024
3976,1,1,2023-2024
3979,4,0,2023-2024
3981,0,0,2023-2024
3983,4,4,2023-2024
3984,4,4,2023-2024
3985,1,0,2023-2024
3986,4,4,2023-2024
3987,1,1,2023-2024
3988,0,0,2023-2024
3989,4,4,2023-2024
3991,4,4,2023-2024
3992,4,4,2023-2024
3993,2,0,2023-2024
3994,1,1,2023-2024
3996,1,4,2023-2024
3997,0,0,2023-2024
3998,4,4,2023-2024
4004,3,3,2023-2024
4005,3,3,2023-2024
4008,2,2,2023-2024
4011,4,4,2023-2024
4012,4,4,2023-2024
4013,4,4,2023-2024
4014,1,1,2023-2024
4015,4,0,2023-2024
4016,0,0,2023-2024
4017,1,1,2023-2024
4019,4,4,2023-2024
4020,4,4,2023-2024
4021,3,3,2023-2024
4022,0,0,2023-2024
4023,3,3,2023-2024
4025,0,2,2023-2024
4026,0,0,2023-2024
4027,0,0,2023-2024
4028,0,0,2023-2024
4031,0,0,2023-2024
4040,0,0,2023-2024
4041,3,3,2023-2024
4042,3,3,2023-2024
4043,3,3,2023-2024
4044,3,3,2023-2024
4045,3,3,2023-2024
4046,3,2,2023-2024
4047,0,0,2023-2024
4051,0,0,2023-2024
4052,1,1,2023-2024
4053,4,4,2023-2024
4054,4,4,2023-2024
4055,4,4,2023-2024
4056,1,1,2023-2024
4057,4,1,2023-2024
4058,4,4,2023-2024
4060,4,4,2023-2024
4061,3,3,2023-2024
4062,3,3,2023-2024
4063,3,3,2023-2024
4064,0,0,2023-2024
4068,4,0,2023-2024
4069,4,4,2023-2024
4071,4,4,2023-2024
4072,0,2,2023-2024
4073,1,1,2023-2024
4074,0,0,2023-2024
4075,4,4,2023-2024
4076,4,4,2023-2024
4078,0,0,2023-2024
4080,0,0,2023-2024
4082,0,0,2023-2024
4088,3,3,2023-2024
4091,3,3,2023-2024
4092,0,0,2023-2024
4093,0,0,2023-2024
4094,2,2,2023-2024
4095,2,2,2023-2024
4097,0,3,2023-2024
4098,0,1,2023-2024
4099,3,3,2023-2024
4100,0,1,2023-2024
4102,0,0,2023-2024
4107,2,2,2023-2024
4109,2,2,2023-2024
4112,0,0,2023-2024
4113,0,0,2023-2024
4114,3,3,2023-2024
4116,3,3,2023-2024
4118,3,3,2023-2024
4119,0,0,2023-2024
4120,0,0,2023-2024
4124,4,4,2023-2024
4125,4,4,2023-2024
4151,2,2,2023-2024
4165,1,0,2023-2024
4166,1,1,2023-2024
4167,4,4,2023-2024
4168,1,0,2023-2024
4170,1,1,2023-2024
4171,4,4,2023-2024
4172,4,4,2023-2024
4174,4,0,2023-2024
4176,1,0,2023-2024
4177,1,0,2023-2024
4178,4,0,2023-2024
4179,1,1,2023-2024
4180,2,4,2023-2024
4182,3,3,2023-2024
4183,3,3,2023-2024
4186,3,3,2023-2024
4187,2,2,2023-2024
4188,3,3,2023-2024
4189,2,2,2023-2024
4192,1,1,2023-2024
4193,4,4,2023-2024
4194,2,2,2023-2024
4196,4,1,2023-2024
4197,4,4,2023-2024
4198,4,4,2023-2024
4199,1,1,2023-2024
4202,3,3,2023-2024
4203,3,3,2023-2024
4204,3,3,2023-2024
4205,2,2,2023-2024
4206,3,3,2023-2024
4208,3,3,2023-2024
4212,2,2,2023-2024
4216,2,2,2023-2024
4218,2,2,2023-2024
4220,3,3,2023-2024
4221,2,0,2023-2024
4222,0,0,2023-2024
4224,2,2,2023-2024
4228,3,3,2023-2024
4229,2,2,2023-2024
4231,0,2,2023-2024
4234,1,0,2023-2024
4235,4,4,2023-2024
4237,0,0,2023-2024
4238,2,4,2023-2024
4240,4,4,2023-2024
4241,0,0,2023-2024
4242,0,0,2023-2024
4243,4,4,2023-2024
4245,0,0,2023-2024
4246,3,3,2023-2024
4247,4,4,2023-2024
4248,4,4,2023-2024
4249,3,3,2023-2024
4251,2,2,2023-2024
4255,1,1,2023-2024
4256,4,4,2023-2024
4258,0,0,2023-2024
4259,1,1,2023-2024
4260,4,0,2023-2024
4261,4,4,2023-2024
4262,4,4,2023-2024
4263,1,1,2023-2024
4264,0,0,2023-2024
4265,1,1,2023-2024
4272,3,3,2023-2024
4274,4,4,2023-2024
4275,0,0,2023-2024
4284,0,0,2023-2024
4286,0,0,2023-2024
4287,4,4,2023-2024
4290,2,2,2023-2024
4293,2,2,2023-2024
4299,2,4,2023-2024
4301,2,2,2023-2024
4307,3,3,2023-2024
4308,4,4,2023-2024
4310,2,1,2023-2024
4316,1,1,2023-2024
4317,4,4,2023-2024
4318,2,2,2023-2024
4319,0,1,2023-2024
4320,0,0,2023-2024
4323,2,2,2023-2024
4324,3,3,2023-2024
4326,2,2,2023-2024
4331,0,0,2023-2024
4333,2,4,2023-2024
4334,4,4,2023-2024
4335,4,4,2023-2024
4337,0,0,2023-2024
4341,0,4,2023-2024
4343,0,0,2023-2024
4344,1,1,2023-2024
4345,2,4,2023-2024
4346,0,0,2023-2024
4347,0,0,2023-2024
4350,0,0,2023-2024
4351,1,0,2023-2024
4356,4,4,2023-2024
4360,2,4,2023-2024
4361,0,0,2023-2024
4362,2,2,2023-2024
4365,2,2,2023-2024
4366,0,0,2023-2024
4367,0,0,2023-2024
4368,2,2,2023-2024
4369,2,2,2023-2024
4370,4,1,2023-2024
4371,4,0,2023-2024
4373,0,2,2023-2024
4374,4,4,2023-2024
4375,1,1,2023-2024
4376,0,0,2023-2024
4377,4,4,2023-2024
4378,4,4,2023-2024
4379,1,4,2023-2024
4380,4,4,2023-2024
4381,1,1,2023-2024
4382,4,4,2023-2024
4384,0,0,2023-2024
4385,3,3,2023-2024
4386,0,0,2023-2024
4387,1,0,2023-2024
4388,4,4,2023-2024
4389,4,4,2023-2024
4390,0,0,2023-2024
4391,4,4,2023-2024
4392,0,0,2023-2024
4393,4,4,2023-2024
4394,4,4,2023-2024
4395,4,4,2023-2024
4396,0,0,2023-2024
4397,1,1,2023-2024
4398,0,0,2023-2024
4401,3,3,2023-2024
4403,3,3,2023-2024
4404,0,0,2023-2024
4406,0,0,2023-2024
4409,0,0,2023-2024
4410,0,0,2023-2024
4412,1,1,2023-2024
4413,0,0,2023-2024
4414,4,4,2023-2024
4415,0,0,2023-2024
4416,4,4,2023-2024
4417,4,0,2023-2024
4418,4,1,2023-2024
4419,1,1,2023-2024
4420,4,4,2023-2024
4421,4,4,2023-2024
4422,1,4,2023-2024
4424,4,1,2023-2024
4425,1,1,2023-2024
4427,1,1,2023-2024
4428,4,4,2023-2024
4429,4,4,2023-2024
4430,4,4,2023-2024
4431,4,4,2023-2024
4432,2,2,2023-2024
4433,0,0,2023-2024
4434,4,0,2023-2024
4436,0,1,2023-2024
4437,4,0,2023-2024
4438,1,1,2023-2024
4439,0,0,2023-2024
4440,4,4,2023-2024
4441,4,4,2023-2024
4442,4,0,2023-2024
4443,0,0,2023-2024
4444,4,4,2023-2024
4445,4,0,2023-2024
4446,0,0,2023-2024
4447,4,4,2023-2024
4448,1,0,2023-2024
4449,0,0,2023-2024
4450,4,4,2023-2024
4452,3,3,2023-2024
4461,0,0,2023-2024
4462,2,4,2023-2024
4463,0,0,2023-2024
4464,2,2,2023-2024
4465,0,2,2023-2024
4471,3,3,2023-2024
4475,4,4,2023-2024
4476,4,4,2023-2024
4477,1,0,2023-2024
4478,1,1,2023-2024
4479,1,1,2023-2024
4480,2,0,2023-2024
4481,2,4,2023-2024
4482,0,4,2023-2024
4483,0,0,2023-2024
4484,1,1,2023-2024
4486,4,4,2023-2024
4487,1,0,2023-2024
4488,4,4,2023-2024
4490,4,1,2023-2024
4491,4,4,2023-2024
4492,0,0,2023-2024
4493,4,4,2023-2024
4494,0,4,2023-2024
4495,4,4,2023-2024
4496,4,4,2023-2024
4498,4,4,2023-2024
4499,0,0,2023-2024
4502,3,3,2023-2024
4503,3,3,2023-2024
4506,3,1,2023-2024
4507,2,2,2023-2024
4512,4,1,2023-2024
4516,2,2,2023-2024
4521,2,2,2023-2024
4523,3,3,2023-2024
4524,4,4,2023-2024
4526,3,3,2023-2024
4527,3,3,2023-2024
4528,2,2,2023-2024
4530,3,2,2023-2024
4531,0,0,2023-2024
4534,2,2,2023-2024
4536,2,2,2023-2024
4538,0,0,2023-2024
4539,1,0,2023-2024
4540,3,3,2023-2024
4543,3,3,2023-2024
4544,3,2,2023-2024
4547,2,2,2023-2024
4548,2,2,2023-2024
4549,2,2,2023-2024
4552,0,3,2023-2024
4553,3,3,2023-2024
4554,0,0,2023-2024
4556,4,4,2023-2024
4558,0,0,2023-2024
4559,3,3,2023-2024
4563,1,1,2023-2024
4564,1,1,2023-2024
4565,1,1,2023-2024
4568,3,3,2023-2024
4569,3,2,2023-2024
4570,1,4,2023-2024
4572,1,1,2023-2024
4574,1,4,2023-2024
4576,1,1,2023-2024
4577,0,2,2023-2024
4578,3,3,2023-2024
4579,1,1,2023-2024
4582,1,1,2023-2024
4586,1,1,2023-2024
4587,0,2,2023-2024
4588,1,1,2023-2024
4593,1,1,2023-2024
4594,1,1,2023-2024
4595,2,4,2023-2024
4596,1,1,2023-2024
4611,0,2,2023-2024
4612,3,3,2023-2024
4613,3,3,2023-2024
4615,1,0,2023-2024
4616,0,0,2023-2024
4617,3,3,2023-2024
4619,0,2,2023-2024
4620,2,2,2023-2024
4623,0,0,2023-2024
4624,4,4,2023-2024
4625,4,4,2023-2024
4626,3,3,2023-2024
4627,2,4,2023-2024
4628,2,2,2023-2024
4629,2,4,2023-2024
4631,3,3,2023-2024
4633,3,3,2023-2024
4634,3,3,2023-2024
4635,1,0,2023-2024
4641,2,2,2023-2024
4642,4,4,2023-2024
4644,2,4,2023-2024
4645,0,0,2023-2024
4650,1,0,2023-2024
4651,0,0,2023-2024
4657,0,0,2023-2024
4658,0,0,2023-2024
4659,2,2,2023-2024
4661,3,3,2023-2024
4662,0,2,2023-2024
4664,0,0,2023-2024
4665,2,2,2023-2024
4666,3,3,2023-2024
4667,4,4,2023-2024
4668,2,4,2023-2024
4671,2,2,2023-2024
4673,0,0,2023-2024
4674,2,2,2023-2024
4676,3,3,2023-2024
4678,0,0,2023-2024
4679,1,1,2023-2024
4680,3,3,2023-2024
4681,3,3,2023-2024
4684,2,2,2023-2024
4685,4,4,2023-2024
4686,2,2,2023-2024
4687,2,2,2023-2024
4689,3,3,2023-2024
4690,0,0,2023-2024
4691,0,0,2023-2024
4694,2,2,2023-2024
4704,2,2,2023-2024
4705,4,4,2023-2024
4707,4,0,2023-2024
4709,0,0,2023-2024
4712,2,0,2023-2024
4714,2,4,2023-2024
4716,2,2,2023-2024
4718,2,4,2023-2024
4719,2,2,2023-2024
4720,4,4,2023-2024
4722,2,0,2023-2024
4725,2,2,2023-2024
4728,4,1,2023-2024
4732,3,3,2023-2024
4733,2,2,2023-2024
4735,0,0,2023-2024
4736,4,4,2023-2024
4743,2,4,2023-2024
4745,4,4,2023-2024
4746,2,4,2023-2024
4750,1,0,2023-2024
4751,3,3,2023-2024
4752,4,4,2023-2024
4754,0,0,2023-2024
4755,3,3,2023-2024
4760,1,0,2023-2024
4761,2,4,2023-2024
4762,4,4,2023-2024
4763,0,0,2023-2024
4765,4,4,2023-2024
4766,1,0,2023-2024
4767,2,2,2023-2024
4768,3,3,2023-2024
4769,4,4,2023-2024
4771,4,4,2023-2024
4772,1,4,2023-2024
4776,2,4,2023-2024
4777,1,1,2023-2024
4783,0,0,2023-2024
4784,1,4,2023-2024
4792,2,4,2023-2024
4800,4,4,2023-2024
4801,2,2,2023-2024
4809,0,0,2023-2024
4811,4,4,2023-2024
4812,2,2,2023-2024
4813,1,1,2023-2024
4814,1,1,2023-2024
4816,2,2,2023-2024
4819,3,0,2023-2024
4820,0,2,2023-2024
4825,2,4,2023-2024
4826,2,2,2023-2024
4828,2,2,2023-2024
4829,4,4,2023-2024
4832,2,2,2023-2024
4833,1,1,2023-2024
4838,4,4,2023-2024
4839,2,2,2023-2024
4840,1,4,2023-2024
4845,0,1,2023-2024
4847,4,4,2023-2024
4848,2,2,2023-2024
4849,2,2,2023-2024
4880,4,4,2023-2024
4881,1,1,2023-2024
4882,1,1,2023-2024
4884,1,1,2023-2024
4885,0,0,2023-2024
4886,0,2,2023-2024
4887,3,3,2023-2024
4888,1,1,2023-2024
4889,1,1,2023-2024
4890,4,1,2023-2024
4892,1,1,2023-2024
4893,1,1,2023-2024
4894,1,1,2023-2024
4902,3,3,2023-2024
4911,3,3,2023-2024
4912,3,2,2023-2024
4914,3,3,2023-2024
4917,2,2,2023-2024
4918,4,4,2023-2024
4919,2,2,2023-2024
4920,0,0,2023-2024
4922,2,2,2023-2024
4923,4,4,2023-2024
4925,0,1,2023-2024
4926,1,4,2023-2024
4927,2,2,2023-2024
4928,2,2,2023-2024
4929,4,4,2023-2024
4931,2,2,2023-2024
4932,4,4,2023-2024
4933,2,0,2023-2024
4934,0,0,2023-2024
4935,0,0,2023-2024
4936,4,4,2023-2024
4937,4,0,2023-2024
4951,2,2,2023-2024
4956,2,2,2023-2024
4957,0,2,2023-2024
4958,2,2,2023-2024
4960,0,0,2023-2024
4966,2,2,2023-2024
4967,2,2,2023-2024
4968,0,0,2023-2024
4970,0,0,2023-2024
4971,2,4,2023-2024
4972,0,2,2023-2024
4973,2,4,2023-2024
4974,2,2,2023-2024
4975,2,2,2023-2024
4976,4,4,2023-2024
4977,0,0,2023-2024
4978,1,1,2023-2024
4979,0,0,2023-2024
4980,3,3,2023-2024
4985,0,2,2023-2024
4990,0,0,2023-2024
4992,2,2,2023-2024
4994,2,4,2023-2024
4996,3,3,2023-2024
4997,0,0,2023-2024
4998,0,0,2023-2024
5010,1,0,2023-2024
5011,2,2,2023-2024
5013,2,2,2023-2024
5015,4,4,2023-2024
5016,3,3,2023-2024
5017,3,3,2023-2024
5018,0,0,2023-2024
5019,3,3,2023-2024
5020,3,3,2023-2024
5021,3,3,2023-2024
5025,4,4,2023-2024
5026,1,0,2023-2024
5027,0,0,2023-2024
5028,4,4,2023-2024
5029,1,1,2023-2024
5031,1,4,2023-2024
5032,2,2,2023-2024
5033,1,0,2023-2024
5034,4,4,2023-2024
5035,0,0,2023-2024
5036,0,0,2023-2024
5038,4,4,2023-2024
5070,0,0,2023-2024
5071,4,4,2023-2024
5074,0,0,2023-2024
5076,3,3,2023-2024
5078,2,2,2023-2024
5079,2,0,2023-2024
5101,3,3,2023-2024
5103,1,1,2023-2024
5105,3,3,2023-2024
5108,3,3,2023-2024
5110,3,3,2023-2024
5121,2,2,2023-2024
5122,3,3,2023-2024
5125,4,4,2023-2024
5126,4,4,2023-2024
5129,4,4,2023-2024
5131,4,4,2023-2024
5132,4,4,2023-2024
5133,4,0,2023-2024
5134,4,1,2023-2024
5136,1,0,2023-2024
5137,1,0,2023-2024
5138,4,4,2023-2024
5139,4,4,2023-2024
5142,0,0,2023-2024
5161,0,3,2023-2024
5162,4,0,2023-2024
5184,2,2,2023-2024
5185,0,3,2023-2024
5186,2,2,2023-2024
5187,4,4,2023-2024
5189,0,0,2023-2024
5191,3,3,2023-2024
5192,3,2,2023-2024
5194,0,0,2023-2024
5195,3,2,2023-2024
5199,0,0,2023-2024
5201,3,2,2023-2024
5202,3,3,2023-2024
5204,0,0,2023-2024
5208,2,2,2023-2024
5210,0,2,2023-2024
5214,3,3,2023-2024
5216,1,0,2023-2024
5218,0,2,2023-2024
5232,0,3,2023-2024
5233,3,3,2023-2024
5237,2,4,2023-2024
5240,1,1,2023-2024
5242,4,4,2023-2024
5243,1,4,2023-2024
5244,4,4,2023-2024
5246,1,0,2023-2024
5247,4,4,2023-2024
5248,4,0,2023-2024
5250,4,4,2023-2024
5252,0,0,2023-2024
5254,4,4,2023-2024
5255,1,1,2023-2024
5256,4,4,2023-2024
5257,4,4,2023-2024
5258,4,0,2023-2024
5259,4,4,2023-2024
5261,0,0,2023-2024
5262,2,2,2023-2024
5268,4,4,2023-2024
5269,0,0,2023-2024
5271,0,0,2023-2024
5273,3,2,2023-2024
5279,0,0,2023-2024
5280,1,1,2023-2024
5282,0,0,2023-2024
5283,0,0,2023-2024
5284,0,0,2023-2024
5285,0,0,2023-2024
5287,0,0,2023-2024
5288,0,3,2023-2024
5290,0,2,2023-2024
5301,3,3,2023-2024
5302,0,2,2023-2024
5304,2,2,2023-2024
5310,2,2,2023-2024
5331,0,2,2023-2024
5332,3,3,2023-2024
5333,3,3,2023-2024
5334,3,3,2023-2024
5337,1,1,2023-2024
5341,1,1,2023-2024
5344,2,2,2023-2024
5351,0,3,2023-2024
5352,0,3,2023-2024
5355,0,0,2023-2024
5356,0,4,2023-2024
5357,2,4,2023-2024
5363,0,2,2023-2024
5367,0,0,2023-2024
5368,4,0,2023-2024
5380,4,0,2023-2024
5381,0,0,2023-2024
5384,2,2,2023-2024
5386,1,4,2023-2024
5388,2,4,2023-2024
5391,0,2,2023-2024
5393,2,2,2023-2024
5401,3,3,2023-2024
5406,3,3,2023-2024
5408,3,2,2023-2024
5410,3,3,2023-2024
5411,3,3,2023-2024
5423,2,2,2023-2024
5440,3,3,2023-2024
5444,2,2,2023-2024
5445,2,2,2023-2024
5446,0,0,2023-2024
5449,2,2,2023-2024
5451,2,2,2023-2024
5458,4,4,2023-2024
5461,2,2,2023-2024
5463,3,3,2023-2024
5464,2,2,2023-2024
5471,3,3,2023-2024
5476,0,1,2023-2024
5480,3,3,2023-2024
5482,3,3,2023-2024
5484,2,4,2023-2024
5491,0,1,2023-2024
5527,0,0,2023-2024
5532,0,0,2023-2024
5533,4,4,2023-2024
5541,2,4,2023-2024
5542,4,4,2023-2024
5563,0,2,2023-2024
5570,4,4,2023-2024
5571,4,4,2023-2024
5572,4,4,2023-2024
5574,4,4,2023-2024
5575,4,0,2023-2024
5576,4,4,2023-2024
5578,0,4,2023-2024
5580,4,4,2023-2024
5582,4,4,2023-2024
5586,4,4,2023-2024
5587,4,4,2023-2024
5588,4,4,2023-2024
5589,4,4,2023-2024
5590,1,1,2023-2024
5591,4,0,2023-2024
5592,0,0,2023-2024
5595,1,0,2023-2024
5596,4,4,2023-2024
5597,1,1,2023-2024
5599,4,4,2023-2024
5602,3,3,2023-2024
5603,0,0,2023-2024
5609,0,0,2023-2024
5612,0,0,2023-2024
5616,1,1,2023-2024
5618,1,1,2023-2024
5619,4,4,2023-2024
5621,4,4,2023-2024
5631,3,3,2023-2024
5632,3,3,2023-2024
5644,0,0,2023-2024
5658,0,2,2023-2024
5659,2,2,2023-2024
5660,0,0,2023-2024
5695,4,4,2023-2024
5697,0,0,2023-2024
5698,0,0,2023-2024
5699,4,4,2023-2024
5702,3,0,2023-2024
5703,3,3,2023-2024
5704,0,0,2023-2024
5706,3,3,2023-2024
5707,3,1,2023-2024
5711,3,3,2023-2024
5713,3,3,2023-2024
5714,3,3,2023-2024
5715,3,3,2023-2024
5721,1,1,2023-2024
5724,0,0,2023-2024
5726,0,0,2023-2024
5727,0,0,2023-2024
5729,0,0,2023-2024
5741,3,3,2023-2024
5742,0,1,2023-2024
5753,4,4,2023-2024
5757,0,0,2023-2024
5801,3,3,2023-2024
5802,3,3,2023-2024
5803,3,3,2023-2024
5805,3,3,2023-2024
5816,0,2,2023-2024
5817,1,0,2023-2024
5819,2,4,2023-2024
5820,0,0,2023-2024
5821,0,2,2023-2024
5834,0,0,2023-2024
5842,0,2,2023-2024
5843,0,0,2023-2024
5845,1,0,2023-2024
5851,3,3,2023-2024
5852,3,3,2023-2024
5856,1,1,2023-2024
5857,3,3,2023-2024
5858,0,0,2023-2024
5867,4,4,2023-2024
5868,0,4,2023-2024
5869,4,4,2023-2024
5870,0,0,2023-2024
5871,4,4,2023-2024
5884,1,1,2023-2024
5885,4,4,2023-2024
5889,0,0,2023-2024
5891,4,0,2023-2024
5892,1,0,2023-2024
5900,4,4,2023-2024
5901,3,3,2023-2024
5902,0,3,2023-2024
5903,4,4,2023-2024
5905,4,0,2023-2024
5906,0,0,2023-2024
5909,2,2,2023-2024
5911,3,0,2023-2024
5915,0,0,2023-2024
5918,2,4,2023-2024
5921,4,4,2023-2024
5922,0,0,2023-2024
5923,0,4,2023-2024
5928,4,4,2023-2024
5929,3,3,2023-2024
5930,3,3,2023-2024
5932,3,3,2023-2024
5933,0,0,2023-2024
5936,0,0,2023-2024
5938,3,3,2023-2024
5939,4,0,2023-2024
5940,0,3,2023-2024
5941,4,2,2023-2024
5942,0,0,2023-2024
5943,2,3,2023-2024
5945,2,4,2023-2024
5946,2,2,2023-2024
5947,2,2,2023-2024
5949,3,3,2023-2024
5950,1,1,2023-2024
5951,2,4,2023-2024
5952,0,0,2023-2024
5955,0,0,2023-2024
5956,2,4,2023-2024
5957,0,2,2023-2024
5958,2,2,2023-2024
5959,0,2,2023-2024
5962,0,0,2023-2024
5965,0,0,2023-2024
5966,4,4,2023-2024
5967,4,0,2023-2024
5969,0,0,2023-2024
5970,3,3,2023-2024
5971,2,4,2023-2024
5973,1,0,2023-2024
5974,0,0,2023-2024
5975,3,3,2023-2024
5976,2,2,2023-2024
5981,0,0,2023-2024
5982,2,2,2023-2024
5983,0,0,2023-2024
5984,2,2,2023-2024
5985,0,0,2023-2024
5986,1,0,2023-2024
5987,0,0,2023-2024
5988,2,2,2023-2024
5989,3,0,2023-2024
5990,4,4,2023-2024
5991,3,3,2023-2024
5992,0,0,2023-2024
5994,0,0,2023-2024
5997,4,4,2023-2024
5998,0,0,2023-2024
6005,2,2,2023-2024
6013,2,2,2023-2024
6016,0,0,2023-2024
6018,4,4,2023-2024
6022,0,0,2023-2024
6023,3,2,2023-2024
6027,4,0,2023-2024
6028,3,3,2023-2024
6029,4,0,2023-2024
6030,0,0,2023-2024
6031,4,1,2023-2024
6033,0,4,2023-2024
6034,4,0,2023-2024
6035,4,4,2023-2024
6036,4,4,2023-2024
6037,4,4,2023-2024
6038,4,4,2023-2024
6039,0,4,2023-2024
6040,4,0,2023-2024
6042,0,0,2023-2024
6044,0,0,2023-2024
6045,0,0,2023-2024
6046,1,1,2023-2024
6047,1,4,2023-2024
6049,4,1,2023-2024
6050,4,4,2023-2024
6054,4,4,2023-2024
6055,2,2,2023-2024
6058,0,0,2023-2024
6059,0,0,2023-2024
6060,4,4,2023-2024
6061,4,4,2023-2024
6062,0,0,2023-2024
6063,4,0,2023-2024
6069,4,0,2023-2024
6070,0,2,2023-2024
6071,0,0,2023-2024
6072,4,1,2023-2024
6073,4,4,2023-2024
6074,4,4,2023-2024
6078,0,0,2023-2024
6080,2,2,2023-2024
6081,4,1,2023-2024
6082,0,2,2023-2024
6083,0,4,2023-2024
6085,1,1,2023-2024
6086,4,4,2023-2024
6087,4,4,2023-2024
6088,2,4,2023-2024
6089,0,0,2023-2024
6090,4,4,2023-2024
6091,2,4,2023-2024
6092,0,0,2023-2024
6093,4,4,2023-2024
6094,0,1,2023-2024
6096,0,4,2023-2024
6098,3,3,2023-2024
6099,2,2,2023-2024
